product_category_name_english,order_id
bed_bath_table,11823
health_beauty,9975
sports_leisure,8945
furniture_decor,8744
computers_accessories,8082
housewares,7355
watches_gifts,6201
telephony,4721
garden_tools,4574
auto,4379
